Series_ID,Region_Name,Region_Code,2021_April
KYBREA5URN,"Breathitt County, KY",21025,6.4
KYBKURN,"Breckinridge County, KY",21027,4.4
IABREM7URN,"Bremer County, IA",19017,2.8
FLBREV3URN,"Brevard County, FL",12009,4.5
TXBREW3URN,"Brewster County, TX",48043,4.9
TXBRIS5URN,"Briscoe County, TX",48045,4.3
VABRIS0URN,"Bristol City, VA",51520,4.9
RIBRIS1URN,"Bristol County, RI",44001,4.1
MABRIS5URN,"Bristol County, MA",25005,6.6
AKBRIS0URN,"Bristol Bay Borough, AK",2060,10
MTBROA7URN,"Broadwater County, MT",30007,4.3
NYBRON5URN,"Bronx County, NY",36005,15
WVBROO9URN,"Brooke County, WV",54009,6.7
SDBROO1URN,"Brookings County, SD",46011,3.2
GABROO7URN,"Brooks County, GA",13027,3.4
TXBROO7URN,"Brooks County, TX",48047,10.2
NYBROO7URN,"Broome County, NY",36007,5.8
FLBROW5URN,"Broward County, FL",12011,5.3
KSBROW3URN,"Brown County, KS",20013,2.6
OHBROW5URN,"Brown County, OH",39015,4.8
SDBROW3URN,"Brown County, SD",46013,2.9
NEBROW7URN,"Brown County, NE",31017,1.9
MNBROW5URN,"Brown County, MN",27015,3.6
ILBRURN,"Brown County, IL",17009,2.3
WIBROW9URN,"Brown County, WI",55009,3.7
TXBROW9URN,"Brown County, TX",48049,5.5
INBROW3URN,"Brown County, IN",18013,4.1
SDBRUL5URN,"Brule County, SD",46015,2.4
VABRUN5URN,"Brunswick County, VA",51025,6.4
NCBRUN9URN,"Brunswick County, NC",37019,5.4
GABRYA9URN,"Bryan County, GA",13029,2.7
OKBRYA3URN,"Bryan County, OK",40013,3.5
IABUCH9URN,"Buchanan County, IA",19019,3.4
VABUCH7URN,"Buchanan County, VA",51027,6.8
MOBUCH1URN,"Buchanan County, MO",29021,3.3
VABUCK9URN,"Buckingham County, VA",51029,5.5
PABUCK5URN,"Bucks County, PA",42017,5.1
VABUEN0URN,"Buena Vista City, VA",51530,3.4
IABUEN1URN,"Buena Vista County, IA",19021,2.8
NEBUFF9URN,"Buffalo County, NE",31019,1.9
SDBUFF7URN,"Buffalo County, SD",46017,5.5
WIBUFF1URN,"Buffalo County, WI",55011,4.7
KYBIURN,"Bullitt County, KY",21029,4.3
GABULL1URN,"Bulloch County, GA",13031,4
ALBULL1URN,"Bullock County, AL",1011,3.5
NCBUNC1URN,"Buncombe County, NC",37021,3.9
ILBURE1URN,"Bureau County, IL",17011,5.1
NDBURK3URN,"Burke County, ND",38013,5.3
GABURK3URN,"Burke County, GA",13033,5.4
NCBURK0URN,"Burke County, NC",37023,4
NDBURL5URN,"Burleigh County, ND",38015,3.3
TXBURL1URN,"Burleson County, TX",48051,5.5
NJBURL0URN,"Burlington County, NJ",34005,5.9
TXBURN3URN,"Burnet County, TX",48053,4
WIBURN3URN,"Burnett County, WI",55013,6.5
NEBURT1URN,"Burt County, NE",31021,2.3
PABUTL0URN,"Butler County, PA",42019,5.1
ALBUTL3URN,"Butler County, AL",1013,4.4
NEBUTL3URN,"Butler County, NE",31023,2.2
KYBNURN,"Butler County, KY",21031,3.5
OHBUTL2URN,"Butler County, OH",39017,4.1
MOBLURN,"Butler County, MO",29023,4.3
IABUTL3URN,"Butler County, IA",19023,3.4
KSBUTL5URN,"Butler County, KS",20015,3.8
CABUTT5URN,"Butte County, CA",6007,7.1
IDBUTT3URN,"Butte County, ID",16023,4
SDBUTT9URN,"Butte County, SD",46019,3.7
GABUTT5URN,"Butts County, GA",13035,3.5
NCCABA5URN,"Cabarrus County, NC",37025,4.1
WVCABE1URN,"Cabell County, WV",54011,5.2
UTCACH0URN,"Cache County, UT",49005,2
LACADD7URN,"Caddo Parish, LA",22017,7.4
OKCADD5URN,"Caddo County, OK",40015,3.9
CACALA9URN,"Calaveras County, CA",6009,5.9
LACALC9URN,"Calcasieu Parish, LA",22019,7.1
KYCAURN,"Caldwell County, KY",21033,3.6
MOCALD5URN,"Caldwell County, MO",29025,4.6
LACALD1URN,"Caldwell Parish, LA",22021,5
NCCALD0URN,"Caldwell County, NC",37027,4.5
TXCALD5URN,"Caldwell County, TX",48055,5.3
VTCALE5URN,"Caledonia County, VT",50005,3.3
IACALH5URN,"Calhoun County, IA",19025,3.6
MICALH5URN,"Calhoun County, MI",26025,6
ALCALH5URN,"Calhoun County, AL",1015,3.5
ILCAURN,"Calhoun County, IL",17013,5.1
WVCALH3URN,"Calhoun County, WV",54013,13.4
MSCAURN,"Calhoun County, MS",28013,5.4
GACALH7URN,"Calhoun County, GA",13037,3.6
TXCALH7URN,"Calhoun County, TX",48057,5.3
FLCALH3URN,"Calhoun County, FL",12013,4.9
ARCAURN,"Calhoun County, AR",5013,3.6
SCCALH7URN,"Calhoun County, SC",45017,4.7
TXCALL9URN,"Callahan County, TX",48059,4.8
MOCLURN,"Callaway County, MO",29027,2.8
KYCLURN,"Calloway County, KY",21035,3.8
WICALU5URN,"Calumet County, WI",55015,3
MDCALV9URN,"Calvert County, MD",24009,4.3
IDCAMA5URN,"Camas County, ID",16025,3.6
PACAMB5URN,"Cambria County, PA",42021,6.6
NJCAMD7URN,"Camden County, NJ",34007,7.5
MOCMURN,"Camden County, MO",29029,4.8
NCCAMD9URN,"Camden County, NC",37029,3.4
GACAMD9URN,"Camden County, GA",13039,2.8
LACAME3URN,"Cameron Parish, LA",22023,4
PACAME3URN,"Cameron County, PA",42023,6.7
TXCAME2URN,"Cameron County, TX",48061,9.1
TXCAMP3URN,"Camp County, TX",48063,6.5
WYCAMP5URN,"Campbell County, WY",56005,6.3
SDCAMP1URN,"Campbell County, SD",46021,2.8
VACAMP0URN,"Campbell County, VA",51031,3.7
KYCAMP0URN,"Campbell County, KY",21037,3.3
TNCAMP3URN,"Campbell County, TN",47013,5.1
OKCANA7URN,"Canadian County, OK",40017,3.7
GACAND3URN,"Candler County, GA",13043,3
TNCANN5URN,"Cannon County, TN",47015,3.6
IDCANY5URN,"Canyon County, ID",16027,3.6
MOCPURN,"Cape Girardeau County, MO",29031,3.2
NJCAPE1URN,"Cape May County, NJ",34009,10
MTCARB9URN,"Carbon County, MT",30009,3.9
UTCARB7URN,"Carbon County, UT",49007,3.9
WYCARB7URN,"Carbon County, WY",56007,4.6
PACARB5URN,"Carbon County, PA",42025,6.6
IDCARI9URN,"Caribou County, ID",16029,2.7
KYCRURN,"Carlisle County, KY",21039,2.9
MNCARL7URN,"Carlton County, MN",27017,5
MDCARO1URN,"Caroline County, MD",24011,4.4
VACARO3URN,"Caroline County, VA",51033,4.4
KYCOURN,"Carroll County, KY",21041,3.4
ARCRURN,"Carroll County, AR",5015,3.7
INCARR5URN,"Carroll County, IN",18015,3.2
MDCARR5URN,"Carroll County, MD",24013,3.9
GACARR0URN,"Carroll County, GA",13045,3.5
IACARR7URN,"Carroll County, IA",19027,2.6
NHCARR3URN,"Carroll County, NH",33003,3.3
ILCARR5URN,"Carroll County, IL",17015,4.5
VACARR5URN,"Carroll County, VA",51035,4.2
TNCRURN,"Carroll County, TN",47017,4.6
OHCARR9URN,"Carroll County, OH",39019,5.6
MSCRURN,"Carroll County, MS",28015,5.9
MOCARR3URN,"Carroll County, MO",29033,3.8
TXCARS5URN,"Carson County, TX",48065,3.7
NVCARS0URN,"Carson City, NV",32510,5.5
MOCTURN,"Carter County, MO",29035,4.6
KYCART3URN,"Carter County, KY",21043,6.1
MTCART1URN,"Carter County, MT",30011,3.2
OKCART9URN,"Carter County, OK",40019,4.4
TNCART0URN,"Carter County, TN",47019,4.5
NCCART1URN,"Carteret County, NC",37031,3.6
MNCARV9URN,"Carver County, MN",27019,3.3
MTCASC3URN,"Cascade County, MT",30013,3.7
KYCSURN,"Casey County, KY",21045,3.2
INCASS7URN,"Cass County, IN",18017,3.6
ILCASS7URN,"Cass County, IL",17017,5.3
MNCASS1URN,"Cass County, MN",27021,6.9
IACASS9URN,"Cass County, IA",19029,3.2
TXCASS7URN,"Cass County, TX",48067,7.4
MICASS7URN,"Cass County, MI",26027,4.3
MOCASS0URN,"Cass County, MO",29037,3.4
NECASS5URN,"Cass County, NE",31025,2.5
NDCASS7URN,"Cass County, ND",38017,3.2
IDCASS1URN,"Cassia County, ID",16031,2.6
TXCAST9URN,"Castro County, TX",48069,3.5
NCCASW3URN,"Caswell County, NC",37033,4.7
LACATA5URN,"Catahoula Parish, LA",22025,5.8
NCCATA5URN,"Catawba County, NC",37035,4.3
GACATO7URN,"Catoosa County, GA",13047,2.4
NMCATR3URN,"Catron County, NM",35003,6.8
